,movie_title,article_link,text
213,The Two Popes,http://www.nytimes.com/2019/11/26/movies/the-two-popes-review.html,testing
214,Playmobil: The Movie,-1,NA
215,The Aeronauts,http://www.nytimes.com/2019/12/05/movies/the-aeronauts-review.html,testing
216,A Million Little Pieces,http://www.nytimes.com/2019/12/05/movies/a-million-little-pieces-review.html,testing
217,Daniel Isnt Real,-1,NA
218,Jumanji: The Next Level,http://www.nytimes.com/2019/12/12/movies/jumanji-the-next-level-review.html,testing
219,Richard Jewell,http://www.nytimes.com/2019/12/12/movies/richard-jewell-review.html,testing
220,Black Christmas,http://www.nytimes.com/2019/12/12/movies/black-christmas-review.html,testing
221,6 Underground,http://www.nytimes.com/2019/12/13/movies/6-underground-review.html,testing
222,Bombshell,http://www.nytimes.com/2019/12/12/movies/bombshell-review.html,testing
223,Uncut Gems,http://www.nytimes.com/2019/12/12/movies/uncut-gems-review.html,testing
224,Seberg,http://www.nytimes.com/2019/12/12/movies/seberg-review-kristen-stewart.html,testing
225,A Hidden Life,http://www.nytimes.com/2019/12/12/movies/a-hidden-life-review.html,testing
226,Star Wars: The Rise of Skywalker,http://www.nytimes.com/2019/12/18/movies/star-wars-the-rise-of-skywalker-review.html,testing
227,Cats,http://www.nytimes.com/2019/12/18/movies/cats-review.html,testing
228,Spies in Disguise,http://www.nytimes.com/2019/12/24/movies/spies-in-disguise-review.html,testing
229,Little Women,http://www.nytimes.com/2019/12/23/movies/little-women-review.html,testing
230,1917,http://www.nytimes.com/2019/12/24/movies/1917-review.html,testing
